Eric Limeback,10.86,U L U' x' D' R' L2' D' L' U' L U L U L' U' L' U' L U2 L' U' L R' F R F' R' U' R y U2' L' U L U' r' U' R' F R U r R U2' R' U' R U' R' U' R U R' U' R' F R2 U' R' U' R U R' F' U,CFOP,64,5.89,66,6.08,2
Eric Limeback,9.69,r (U' D) L2' (l R) d' R U2' R' U' R U R' U L U2' L' U' L U L' R' U2 R L' U L y' L U L' U' R U R' U2' R U R' U' l' U' L U' L' U2 l U' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',CFOP,67,6.91,68,7.02,1
Eric Limeback,10.33,U' x' U' R' (F B') D' y U L U2' L' U2 L U' L' U L' U' L U' L' U L U' R' U R U' R U R' y U R U R' U2 R U' R' R' U' R' F R F' U R U R U' R' U' R U R D R' U' R D' R' U2 R' U2,CFOP,63,6.10,66,6.39,3
Eric Limeback,10.86,U R' L U' x' D L' u y L' U L R U R' L' U' L U' R' U' R y' U' R U' R' L' U L y L' U' L U' L' U L R' U' F' U F R U R U R' y' R2 u' R U' R' U R' u R2 U,CFOP,54,4.97,59,5.43,5
Eric Limeback,9.24,L U x' D' R' F R' R U' R2' U2' R d' L' U L U' L U2' L' U L U' L' R U' R' U2 R U' R' y U2' R U' R' U' y U' L' U' L U' x U R' U' L U R U' r' U' R2 U' R' U' R U R U R U' R U',CFOP,61,6.60,65,7.03,4
Kevin Costello III,10.76,R' B' R2 U' F2 U' L2' D' U' R U2' R' U2 L' U' L y' U' R' U' R y U' R U R' y R' U2' R U' R U2' R' y U R U' R' y2' R' U' R U' R' U' R U2' R U R2' U' R' F R U R U' F' U R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U2,CFOP,77,7.16,82,7.62,5
Kevin Costello III,9.60,D R U y' R2' U' (R2 z) U' R U' R' U' R U R' U2' R U R' y' U' R U' R' U' F U' F' U2' R U' R' U' R U R' U2' R U R' y U R' U' R U R' U' R r' U' r R' U' R U r' U r U R2 u' R U' R U R' u R2 y R U' R',CFOP,69,7.19,74,7.71,5
Kevin Costello III,8.90,U' R D R F' L2' U' R' U R y' R' U' R U' R' U R y' U R' U' R y U' L' U L R U' R' U' y' R' U' R U' R' U R U2 R' U' R' F R F' U R U' R2 u R' U R' U' R u' R2 y' R' U R,CFOP,58,6.52,63,7.08,5
Kevin Costello III,10.98,D' F' R2 D' R' D2 U2 R' U' R y' U' R' U R y' U R' U2 R U' y' R' U R U' R U' R' L U' L' y' U R' U' R U2 R2 D' R U2 R' D R U2 R U R2 u' R U' R U R' u R2 y R U' R' U R' U L' U2 R U' M' B r' U2 R U' L U,CFOP,71,6.47,76,6.92,5
Kevin Costello III,10.56,D' R' F B' y D' R' D2 U2 R U2' R' L U' L' U R U' R' U R U' R' R' U' R U y L U L' U R U' R' U2 R U' R' U' r U r' R U R' U' r U' r' R2 U R U R' U' R' U' R' U R' U',CFOP,60,5.68,62,5.87,2
Rowe Hessler,11.71,D2 R' D F R u' R u' U' R U' R' y' L U L' d R U' R' U R U' R' L U2 L' U (R U R' U')2 R U R' y U R' F R F' R U' R' U R U' R' U2 R U' R' R U2' R2' U' R2 U' R2' U2' R x (R' U R U')3 x' U R' U2' R U R' z R2 U R' D R U',CFOP,75,6.40,80,6.83,5
Rowe Hessler,8.47,L D R' y R' R' U R D2 d U R U' R' y' U2 L U2 L' U L U' L' y' U R' U2' R r' U2' R U R' U' R U R' U r U R' d' F R2 u R' U R U' R u' R2',CFOP,49,5.79,52,6.14,3
Rowe Hessler,9.57,R' d R' F D y2' R U' R2' U R y' U R U' R' U' R U' R' U R U' R' U' R' U R U' y' U' L U L' U2' r U' R' U R U r' U' R U B' U' R' U R B R' U R2 u R' U R' U' R u' R2 y' R' U R,CFOP,62,6.48,66,6.90,4
Rowe Hessler,10.75,L' D L2 R' D L U2 L' U' L U2 L' U2 R' U R y' R' U' R R U' R' d' R' U' R y2' R' U2' R U R' U' R U' R U R' y R' F R U' R' F' R U R2 u R' U R' U' R u' R2 y' R' U R,CFOP,57,5.30,61,5.67,4
Rowe Hessler,13.21,L2 F' L' R' D L D2 y' U L U2 L' U' L U L' U y M2' U2 M2' y' U' R' U R2 U' R' y' U R U' R' U2 y' R' U' R y2' U2' R' U2 R U2' R' U R r' U' r R' U' R U r' U r R' U2 R U2' R' F R U R' U' R' F' R2 U,CFOP,65,4.92,71,5.37,6
